FAILURE,YEAR_CONSTRUCTION,YEAR_ACTIVE,AGE,CABLE_COX1,CABLE_COX2,COX1==COX2,CONSTRUCTION_ORIG,CONSTRUCTION_EXP,CONSTRUCTION_COX,GROUND_TYPE,SUBSIDENCE,DEWATERING_DEPTH_CM
False,2003.0,2003.0,15.0,GPLK_NA_1978,GPLK_NA_1978,True,Onbekend,Gietharsmof,Gietharsmof,"Bebouwing, enz",1,-2.5
True,2006.0,2006.0,1.0,GPLK_NA_1978,XLPE,False,Onbekend,Kabeldon,Kabeldon,"Bebouwing, enz",0,-1.5
False,2002.0,2002.0,16.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Overig,Overig,Overig,Zware klei,0,-0.5
False,2007.0,2007.0,11.0,GPLK_NA_1978,GPLK_NA_1978,True,Onbekend,Kunststofmof,Krimpmof,"Bebouwing, enz",1,-2.0
True,1998.0,1998.0,9.0,GPLK_NA_1978,GPLK_NA_1978,True,Onbekend,Gietharsmof,Gietharsmof,Zware klei,1,-1.5
False,1831.0,1931.0,187.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Massamof,Massamof,Zand,0,-1.0
False,2011.0,2011.0,7.0,,,False,Krimpmof Raychem,Krimpmof,Krimpmof,Zand,0,-2.0
False,2007.0,2007.0,11.0,GPLK_NA_1978,XLPE,False,Onbekend,Kunststofmof,Krimpmof,"Bebouwing, enz",1,-2.0
False,2012.0,2012.0,6.0,,GPLK_NA_1978,False,Krimpmof,Krimpmof,Krimpmof,"Bebouwing, enz",1,0.0
False,1997.0,,21.0,XLPE,GPLK_VOOR_1978,False,Onbekend,Lovinolmof,LOVINOL_4,Zand,0,-28.0
False,1970.0,,48.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Oliemof,Oliemof,Zand,0,-6.0
False,2015.0,2015.0,3.0,,XLPE,False,Krimpmof Raychem,Krimpmof,Krimpmof,Zware zavel,0,0.0
False,2018.0,2018.0,0.0,XLPE,XLPE,True,Kunststofmof Overig,Kunststofmof,Krimpmof,"Bebouwing, enz",0,-1.99999999
False,2002.0,2002.0,16.0,XLPE,GPLK_NA_1978,False,Onbekend,Lovinolmof,LOVINOL_1,"Bebouwing, enz",0,-4.5
False,2017.0,2017.0,1.0,,XLPE,False,Onbekend,Krimpmof,Krimpmof,"Bebouwing, enz",0,-14.0
False,2013.0,2013.0,5.0,,,False,Kunststofmof,Kunststofmof,Krimpmof,Lichte klei,0,-1.0
False,1985.0,1985.0,33.0,GPLK_NA_1978,GPLK_NA_1978,True,Kabeldon,Kabeldon,Kabeldon,Lichte klei,1,-1.0
False,1955.0,,63.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Massamof,Massamof,Massamof,"Bebouwing, enz",0,-3.49999999
False,1984.0,1984.0,34.0,GPLK_NA_1978,GPLK_NA_1978,True,Kabeldon,Kabeldon,Kabeldon,Zand,0,-2.99999999
False,1984.0,1984.0,34.0,GPLK_NA_1978,GPLK_NA_1978,True,Onbekend,Oliemof,Oliemof,Zand,0,-3.0
True,1979.0,1979.0,36.0,,,False,Lovinolmof,Lovinolmof,LOVINOL_3,Veen,1,-1.5
False,2016.0,2016.0,2.0,,XLPE,False,Kunststofmof Overig,Kunststofmof,Krimpmof,Lichte klei,0,-1.0
False,1994.0,1994.0,24.0,GPLK_NA_1978,GPLK_NA_1978,True,Oliemof,Oliemof,Oliemof,"Bebouwing, enz",1,0.0
False,2000.0,2000.0,18.0,XLPE,XLPE,True,Wikkelmof Overig,Overig,Overig,"Bebouwing, enz",0,-1.5
False,1961.0,,57.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Oliemof,Oliemof,Zand,0,-4.99999999
False,1964.0,,54.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Massamof,Massamof,Zand,0,-1.99999999
False,1983.0,1983.0,35.0,GPLK_VOOR_1978,GPLK_NA_1978,False,Kunststofmof Overig,Kunststofmof,Krimpmof,"Bebouwing, enz",0,-0.99999999
True,2011.0,,0.0,,,False,Onbekend,Krimpmof,Krimpmof,"Bebouwing, enz",1,-3.0
False,2016.0,2016.0,2.0,XLPE,GPLK_NA_1978,False,Onbekend,Krimpmof,Krimpmof,Zware zavel,0,-1.0
False,2007.0,2007.0,11.0,XLPE,XLPE,True,Kabeldon,Kabeldon,Kabeldon,"Bebouwing, enz",0,-2.5
False,2008.0,,10.0,XLPE,GPLK_NA_1978,False,Onbekend,Onbekend,Onbekend,"Bebouwing, enz",1,-1.0
False,2010.0,2010.0,8.0,XLPE,GPLK_NA_1978,False,Krimpmof Raychem,Krimpmof,Krimpmof,"Bebouwing, enz",0,-1.49999999
False,1972.0,1972.0,46.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Oliemof,Oliemof,Zand,0,0.5
True,1997.0,1997.0,19.0,,GPLK_NA_1978,False,Oliemof,Oliemof,Oliemof,Lichte zavel,0,-0.5
True,1998.0,,12.0,,XLPE,False,Onbekend,Lovinolmof,LOVINOL_3,"Bebouwing, enz",0,-1.5
True,2004.0,2004.0,5.0,GPLK,GPLK_NA_1978,False,Onbekend,Kunststofmof,Krimpmof,Veen,1,-1.5
False,1973.0,1973.0,45.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Oliemof,Oliemof,Zand,0,0.0
False,1974.0,1974.0,44.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Massamof,Massamof,"Bebouwing, enz",0,-3.99999999
False,2000.0,2000.0,18.0,,GPLK_NA_1978,False,Onbekend,Lovinolmof,LOVINOL_3,Zand,0,-0.5
True,2011.0,2011.0,2.0,,,False,Krimpmof Cellpack,Krimpmof,Krimpmof,Zware klei,1,-1.5
True,1979.0,1979.0,32.0,,,False,Nekaldietmof,Nekaldietmof,Nekaldietmof,"Bebouwing, enz",0,-0.99999999
False,1979.0,1979.0,39.0,GPLK_NA_1978,GPLK_NA_1978,True,Onbekend,Oliemof,Oliemof,Zand,0,-1.25625185
False,1983.0,1983.0,35.0,GPLK_NA_1978,GPLK_VOOR_1978,False,Oliemof,Oliemof,Oliemof,"Bebouwing, enz",0,-0.99999999
True,1993.0,1993.0,21.0,,GPLK_NA_1978,False,Onbekend,Lovinolmof,LOVINOL_3,Lichte klei,0,-1.49999999
False,2015.0,2015.0,3.0,,,False,Krimpmof Raychem,Kunststofmof,Krimpmof,Zware zavel,0,-2.99999999
False,2016.0,2016.0,2.0,,XLPE,False,Krimpmof Cellpack,Krimpmof,Krimpmof,"Bebouwing, enz",1,-2.0
False,1987.0,,31.0,GPLK_NA_1978,GPLK_NA_1978,True,Onbekend,Oliemof,Oliemof,Zand,0,-8.0
False,2008.0,2008.0,10.0,GPLK_VOOR_1978,XLPE,False,Lovinolmof,Lovinolmof,LOVINOL_4,Zware klei,0,-1.5
False,1964.0,,54.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Massamof,Massamof,Lichte zavel,1,0.5
False,1991.0,1991.0,27.0,GPLK_NA_1978,GPLK_NA_1978,True,Massamof,Massamof,Massamof,Zand,0,-0.5
True,1976.0,1976.0,40.0,GPLK_VOOR_1978,,False,Nekaldietmof,Nekaldietmof,Nekaldietmof,Veen,0,-2.0
False,1996.0,1996.0,22.0,GPLK_NA_1978,GPLK_NA_1978,True,Lovinolmof,Lovinolmof,LOVINOL_5,"Bebouwing, enz",0,-2.0
False,2014.0,2014.0,4.0,,,False,Krimpmof Raychem,Kunststofmof,Krimpmof,Zware zavel,0,-2.49999999
True,1977.0,1977.0,30.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Nekaldietmof,Nekaldietmof,Nekaldietmof,"Bebouwing, enz",1,-2.0
True,1956.0,,56.0,,GPLK_VOOR_1978,False,Onbekend,Massamof,Massamof,Zand,0,-0.5
False,2005.0,2005.0,13.0,XLPE,XLPE,True,Kunststofmof Raychem,Kunststofmof,Krimpmof,Zware zavel,0,-2.5
False,2001.0,2001.0,17.0,,GPLK_NA_1978,False,Gietharsmof,Gietharsmof,Gietharsmof,Lichte zavel,0,-1.0
False,1920.0,1920.0,98.0,,GPLK_VOOR_1978,False,Onbekend,Massamof,Massamof,"Bebouwing, enz",1,-2.0
False,2005.0,2005.0,13.0,GPLK_VOOR_1978,XLPE,False,Lovinolmof,Lovinolmof,LOVINOL_4,Zware zavel,0,-1.5
False,1992.0,1992.0,26.0,GPLK_NA_1978,GPLK_VOOR_1978,False,Onbekend,Lovinolmof,LOVINOL_3,Zand,0,-3.5
True,1979.0,1979.0,31.0,,,False,Nekaldietmof,Nekaldietmof,Nekaldietmof,Veen,1,-1.5
False,1995.0,,23.0,GPLK_NA_1978,GPLK_NA_1978,True,Oliemof,Oliemof,Oliemof,Veen,1,-1.49999999
False,2015.0,2015.0,3.0,XLPE,XLPE,True,Kunststofmof Overig,Krimpmof,Krimpmof,"Bebouwing, enz",0,-0.5
False,1991.0,1991.0,27.0,GPLK_NA_1978,GPLK_VOOR_1978,False,Kabeldon,Kabeldon,Kabeldon,Veen,1,1.49999999
False,1979.0,,39.0,GPLK_VOOR_1978,GPLK_NA_1978,False,Onbekend,Oliemof,Oliemof,Lichte zavel,0,-1.49999999
True,1970.0,,38.0,Onbekend,Onbekend,True,Onbekend,Oliemof,Oliemof,"Bebouwing, enz",0,-0.99999999
False,2015.0,2015.0,3.0,,,False,Krimpmof Raychem,Krimpmof,Krimpmof,"Bebouwing, enz",0,0.5
True,1991.0,,25.0,GPLK_NA_1978,GPLK_VOOR_1978,False,Nekaldietmof,Nekaldietmof,Nekaldietmof,Lichte zavel,0,-1.5
False,2014.0,2014.0,4.0,,XLPE,False,Kunststofmof Cellpack,Kunststofmof,Krimpmof,Zware zavel,0,-2.0
